Country,Month,Year,Confirmed Cases,Confirmed Deaths
Liberia ,3,2014,8,6
Liberia ,4,2014,5,5
Liberia ,5,2014,0,0
Liberia ,6,2014,39,25
Liberia ,7,2014,278,122
Liberia ,8,2014,1049,538
Liberia ,9,2014,2080,1136
Liberia ,10,2014,3077,583
Liberia ,11,2014,1100,732
Liberia ,12,2014,383,278
Liberia ,1,2015,604,263
Liberia ,2,2015,616,351
Liberia ,3,2015,474,295
Liberia ,4,2015,610,276
Liberia ,5,2015,344,198
Liberia ,6,2015,0,0
Liberia ,7,2015,6,2
Liberia ,8,2015,0,0
Liberia ,9,2015,0,0
Liberia ,10,2015,0,0
Liberia ,11,2015,3,0
Liberia ,12,2015,0,1
Liberia ,1,2016,0,0
Liberia ,2,2016,0,0
Liberia ,3,2016,0,0
Liberia ,4,2016,3,1
